Xfoil polar. Reynolds number fixed. Mach  number fixed,,,,,,
Polar key,xf-naca652415-il-50000,,,,,
0.75,-0.1185,0.03836,0.02835,0.0014,1,1
1,-0.119,0.03793,0.02786,0.004,1,1
1.25,-0.1197,0.03747,0.02735,0.0065,1,1
1.5,-0.1196,0.03699,0.02683,0.0089,1,1
1.75,-0.1175,0.0366,0.0264,0.011,1,1
2,-0.1094,0.03651,0.02624,0.0119,1,1
2.25,-0.0956,0.03673,0.0264,0.0118,1,1
2.5,-0.0782,0.0372,0.0268,0.0111,1,1
2.75,-0.0588,0.03784,0.02739,0.0101,1,1
3,-0.0383,0.03861,0.02811,0.0088,1,1
3.25,-0.0173,0.0395,0.02894,0.0075,1,1
3.5,0.0037,0.04047,0.02987,0.0061,1,1
3.75,0.0246,0.04151,0.03089,0.0048,1,1
4,0.0451,0.04262,0.03198,0.0035,1,1
4.25,0.0653,0.0438,0.03314,0.0023,1,1
4.5,0.0849,0.04504,0.03438,0.0011,1,1
4.75,0.1041,0.04635,0.0357,0,1,1
5,0.1327,0.04842,0.03781,-0.003,0.9955,1
5.25,0.1727,0.0515,0.04092,-0.0082,0.984,1
5.5,0.2103,0.05446,0.04395,-0.013,0.9706,1
5.75,0.2415,0.05685,0.04643,-0.0165,0.9554,1
6,0.2677,0.05873,0.04841,-0.0191,0.9376,1
6.25,0.295,0.06082,0.0506,-0.0217,0.9187,1
6.5,0.3255,0.06325,0.05315,-0.0247,0.8986,1
6.75,0.3626,0.06636,0.0564,-0.0287,0.8785,1
7,0.3817,0.0681,0.05826,-0.0298,0.8576,1
7.25,0.4239,0.07116,0.06149,-0.0337,0.8289,1
7.5,0.533,0.06869,0.05938,-0.037,0.7063,1
7.75,0.5656,0.06937,0.06028,-0.0375,0.678,1
8,0.6049,0.06969,0.06085,-0.0381,0.6506,1
8.25,0.6521,0.06906,0.06054,-0.0384,0.6215,1
8.5,0.7006,0.06687,0.05869,-0.0373,0.5873,1
8.75,0.8753,0.04357,0.0366,-0.0283,0.516,1
9,0.8887,0.03713,0.02834,-0.0155,0.2687,1
9.25,0.8797,0.04035,0.03059,-0.0121,0.21,1
9.5,0.8949,0.04241,0.03219,-0.0101,0.1724,1
9.75,0.9582,0.04339,0.03285,-0.0109,0.1419,1
10,1.066,0.04653,0.03592,-0.0179,0.1218,1
10.25,1.104,0.04954,0.03925,-0.0193,0.1147,1
10.5,1.1573,0.05447,0.04423,-0.0231,0.1101,1
10.75,1.1695,0.05773,0.04797,-0.0215,0.1094,1
11,1.1737,0.061,0.05167,-0.0193,0.1088,1
11.25,1.1713,0.06424,0.05533,-0.0167,0.1082,1
11.5,1.164,0.06751,0.05895,-0.0138,0.1079,1
11.75,1.153,0.07093,0.06268,-0.011,0.1079,1
12,1.1405,0.07463,0.06664,-0.0085,0.1082,1
12.25,1.1255,0.07864,0.0709,-0.0066,0.1086,1
12.5,1.1122,0.08309,0.07556,-0.0053,0.1093,1
12.75,1.1085,0.08829,0.08094,-0.0049,0.1102,1
13,0.9827,0.09633,0.08957,-0.0058,0.1168,1
13.25,0.9409,0.10537,0.09874,-0.0097,0.1205,1
13.5,0.9209,0.11334,0.10675,-0.013,0.1226,1
13.75,0.9192,0.11986,0.11333,-0.015,0.1242,1
