Xfoil polar. Reynolds number fixed. Mach  number fixed,,,,,,
Polar key,xf-naca652415-il-100000,,,,,
10,1.0409,0.03836,0.02882,-0.0192,0.0697,1
10.25,1.0738,0.04003,0.0307,-0.0197,0.0661,1
10.5,1.118,0.04241,0.03323,-0.0217,0.0637,1
10.75,1.1577,0.04533,0.03636,-0.0234,0.0624,1
11,1.1919,0.04883,0.04007,-0.0251,0.0611,1
11.25,1.2204,0.05397,0.04547,-0.0265,0.0598,1
11.5,1.2198,0.05618,0.04806,-0.0235,0.0595,1
11.75,1.226,0.05976,0.05195,-0.0218,0.0596,1
12,1.2353,0.06373,0.05621,-0.0206,0.0601,1
12.25,1.2238,0.06535,0.05815,-0.0166,0.0607,1
12.5,1.188,0.06766,0.06098,-0.0113,0.0621,1
12.75,1.1498,0.07207,0.06588,-0.0078,0.0639,1
13,1.1219,0.07705,0.0712,-0.0062,0.0654,1
13.25,1.0969,0.08231,0.07672,-0.0056,0.0668,1
13.5,1.0721,0.08793,0.08255,-0.0059,0.068,1
13.75,1.0536,0.09383,0.08861,-0.0069,0.0693,1
14,0.8621,0.09851,0.094,-0.0047,0.0686,1
